docent aan academie	docent aan academie	docent	docent	11022	33.33
accordeonist bij de vara	accordeonist bij de Vara	accordeonist	accordeonist	17140	63.79
agent derde klasse bij de politie	agent derde klasse bij de politie	agent	agent	58220	54.83
huisman	huis_man	huisman	huis_man	61115	48.63
winkelierster in sigaren	winkelier_ster in sigaar	winkelierster	winkelier_ster	41030	57.59
hoofd gemeenteveldwachter	hoofd gemeente_veldwachter	hoofd	hoofd	58220	54.83
opzichter bij een rijksgebouwendienst	opzichter bij een Rijksgebouwendienst	opzichter	opzichter	22000	68.72
schipper in aardappels	schipper in aardappel	schipper	schipper	4217	49.81
employé bij een oliemaatschappij	employé bij een olie_maatschappij	employé	employé	39990	71.19
bode bij een gesticht	bode bij een gesticht	bode	bode	37040	55.72
onderofficier bij de marine	onderofficier bij de marine	onderofficier	onderofficier	58330	61.68
opzichter bij de waterstaat eerste klasse	opzichter bij de waterstaat eerste klasse	opzichter	opzichter	22690	57.72
inspecteur bij een autoverzekering	inspecteur bij een auto_verzekering	inspecteur	inspecteur	44120	76.25
deurwaarder bij de belastingen	deurwaarder bij de belasting	deurwaarder	deurwaarder	39340	75.25
winkelierster in boter en kaas	winkelier_ster in boter en kaas	winkelierster	winkelier_ster	41030	57.59
hulpcontroleur van levensmiddelen	hulp_controleur van leven_middel	hulpcontroleur	hulp_controleur	94980	75.19
overste bij een gesticht	overste bij een gesticht	overste	overste	22420	51.38
meester vleeshouwer	meester vleeshoud	meester	meester	77330	58.74
religieuse bij een gasthuis	religieuse bij een gasthuis	religieuse	religieuse	14140	97.7
opzichter bij een calicotsfabriek	opzichter bij een calicotsfabriek	opzichter	opzichter	22670	66.93
magazijnmeester bij een stoombleekerij	magazijn_meester bij een stoombleekerij	magazijnmeester	magazijn_meester	39140	67.3
boorder	boorder	boorder	boorder	83450	57.25
onderwijzeres op een openbare lagere school	onderwijzeres op een openbaar laag school	onderwijzeres	onderwijzeres	13320	67.88
venter in boter kaas en eieren	venter in boter kaas en ei	venter	venter	45220	51.9
hoofdingenieur bij de koninklijke marine	hoofd_ingenieur bij de koninklijk marine	hoofdingenieur	hoofd_ingenieur	2000	99
chef van buitendienst gemeentelijk elektriciteitsbedrijf	chef van buitendienst gemeentelijk elektriciteit_bedrijf	chef	chef	22690	57.72
arbeider bij het bontmagazijn	arbeider bij het bont_magazijn	arbeider	arbeider	99900	41.65
opzichter bij het rijksstoomwezen	opzichter bij het rijksstoomwezen	opzichter	opzichter	22290	72.48
blokmaker	blok_maker	blokmaker	blok_maker	81990	48.91
schrijfster bij de markt	schrijfster bij de markt	schrijfster	schrijfster	39320	69.05
baas bij een zalmvisserij	baas bij een zalm_visserij	baas	baas	64100	50.61
confectiearbeider	confectiearbeider	confectiearbeider	confectiearbeider	79510	50.9
vuurstoker bij een wachtschip	vuur_stoker bij een wacht_chip	vuurstoker	vuur_stoker	98220	61.58
los arbeider bij de nederlandse spoorwegen	los arbeider bij de Nederlands spoor_weg	arbeider	arbeider	97400	45.86
student in de medicijnen	student in de medicijn	student	student	6100	92.87
los werkman bij een glasffabriek	los werkman bij een glasffabriek	werkman	werkman	99930	55.31
ventster in haring	vent_ster in haring	ventster	vent_ster	45220	51.9
bewaarder bij de hypotheken en het kadaster	bewaarder bij de hypotheek en het kadaster	bewaarder	bewaarder	39530	64.12
poetser bij een trammaatschappij	poetser bij een tram_maatschappij	poetser	poetser	99910	57.34
winkelier in linnen	winkelier in linnen	winkelier	winkelier	41030	57.59
portier bij de rijkswerf	portier bij de rijk_werf	portier	portier	59990	63.88
bode bij de regering	bode bij de regering	bode	bode	37040	55.72
werkman bij de lijmfabriek	werkman bij de lijm_fabriek	werkman	werkman	99930	55.31
kerk bij de rijks directe belastingen	kerk bij de rijks direct belasting	kerk	kerk	31030	69.38
gepensioneerd schrijver	gepensioneerd schrijver	schrijver	schrijver	39320	69.05
kapitein bij een sleepvaartboot	kapitein bij een sleep_vaart_boot	kapitein	kapitein	4217	49.81
gepensioneerd commies bij de rijksbelastingen	gepensioneerd commies bij de rijk_belasting	commies	commies	31030	69.38
ziekenoppasser bij het groot ziekengasthuis	ziekenoppasser bij het groot ziek_eng_as_thuis	ziekenoppasser	ziekenoppasser	59940	54.99
koopman in borstels	koopman in borstel	koopman	koopman	41025	63.06
oppertimmerman bij de koninklijke marine	opperen_timmerman bij de koninklijk marine	oppertimmerman	opperen_timmerman	95455	53.02
luitenant bij de marine	luitenant bij de marine	luitenant	luitenant	58320	95.41
serveerster bij een plasticfabriek	serveerster bij een plastic_fabriek	serveerster	serveerster	53210	64.27
aannaaister bij een textiel stoomblekerij	aan_naaister bij een textiel stoom_bleek_rij	aannaaister	aan_naaister	79510	50.9
bedrijfleider	bedrijf_leider	bedrijfleider	bedrijfleider	21110	84.88
directeur bij een cultuurmaatschappij	directeur bij een cultuur_maatschappij	directeur	directeur	21110	84.88
employé bij de hollandse spoorwegmaatschappij	employé bij de Hollands spoorweg_maatschappij	employé	employé	39960	61.4
leerling touwslager	leerling touw_laag	touwslager	touw_laag	75710	54.27
onderdirecteur bij de rijkstelegraaf	onder_directeur bij de rijk_telegraaf	onderdirecteur	onder_directeur	21110	84.88
lithograaf	litho_graaf	lithograaf	litho_graaf	92415	68.26
archivaris bij de provincie	archivaris bij de provincie	archivaris	archivaris	19130	87.02
beambte bij de visserijpolitie	beambte bij de visserij_politie	beambte	beambte	58220	54.83
tabakswerker	tabak_werker	tabakswerker	tabak_werker	78100	58.77
aannemer bij de stadsreiniging	aannemer bij de stad_reiniging	aannemer	aannemer	21240	71.01
dijkbode	dijk_bode	dijkbode	dijk_bode	37040	55.72
koopvaardijkapitein	koop_vaar_dij_kapitein	koopvaardijkapitein	koopvaardijkapitein	4215	78.25
perroncontroleur	perron_controleur	perroncontroleur	perroncontroleur	36090	58.52
assistent exploitatie ingenieur	assistent exploitatie ingenieur	assistent	assistent	2000	99
konstabel	konstabel	konstabel	konstabel	58330	61.68
reiziger in boter	reiziger in boter	reiziger	reiziger	43220	73.55
procuratiehouder bij een handelsonderneming	procuratiehouder bij een handel_onderneming	procuratiehouder	procuratiehouder	33940	70.19
directrice bij het kindertehuis	directrice bij het kindertehuis	directrice	directrice	22420	51.38
zeevarend bij de koninklijke marine	zeevarend bij de koninklijk marine	zeevarend	zeevarend	98135	52.91
opzichter bij de stadslantaarnverlichting	opzichter bij de stads_lantaarn_verlichting	opzichter	opzichter	22680	73.41
landarbeider bij de heidemaatschappij	land_arbeider bij de hei_maatschappij	landarbeider	land_arbeider	62210	45.66
commies bij de stedelijke accijnsen	commies bij de stedelijk accijnsen	commies	commies	31030	69.38
beambte bij de militaire legeringen	beambte bij de militair legering	beambte	beambte	31090	80.98
gasmetermaker	gas_meter_maker	gasmetermaker	gasmetermaker	84230	70.15
surnumeraire bij de registratie	surnumeraire bij de registratie	surnumeraire	surnumeraire	31030	69.38
nachtwachter	nacht_wachter	nachtwachter	nacht_wachter	58940	54.4
koopman in aardappelen groenten en fruit	koopman in aardappel groente en fruit	koopman	koopman	41025	63.06
winkelbediende in boter en kaas	winkel_bediende in boter en kaas	winkelbediende	winkel_bediende	45130	58.02
bestuurder bij een onderwijsinrichting	bestuurder bij een onderwijs_inrichting	bestuurder	bestuurder	21990	89.86
opzichter van plantsoenen	opzichter van plantsoen	opzichter	opzichter	22520	64.87
landman	land_man	landman	land_man	62210	45.66
handelaarster	handelaar_ster	handelaarster	handelaarster	41025	63.06
employé bij het kantoor van waarborg	employé bij het kantoor van waarborg	employé	employé	31090	80.98
knecht bij een zoutkeet	knecht bij een zout_keet	knecht	knecht	74470	58.11
boekhouder bij een gasfabriek	boekhouder bij een gas_fabriek	boekhouder	boekhouder	33110	78.26
directeur bij een credietvereniging	directeur bij een credietvereniging	directeur	directeur	21110	84.88
